Fecha;Temperatura_Abrigo_150cm;Humedad_Media;Presion_Media;Radiacion_Global
2021-02-11 00:00:00.0;24.58541;83;1001.816;19.23084
2021-02-12 00:00:00.0;26.54167;77;1000.682;24.40104
2021-02-13 00:00:00.0;26.29028;82;998.6201;14.82948
2021-02-14 00:00:00.0;26.08334;86;996.6151;16.52502
2021-02-15 00:00:00.0;27.0618;78;998.8189;23.18106
2021-02-16 00:00:00.0;26.14097;79;1000.933;21.20358
2021-02-17 00:00:00.0;24.53333;66;1000.502;25.84218
2021-02-18 00:00:00.0;25.11042;61;1000.189;25.57183
2021-02-19 00:00:00.0;23.50486;84;1002.884;8.753098
2021-02-20 00:00:00.0;26.175;70;1004.274;23.9634
2021-02-21 00:00:00.0;27.25347;77;1002.152;10.55754
2021-02-23 00:00:00.0;26.08951;96;1001.912;5.098141
2021-02-24 00:00:00.0;26.92778;86;1003.426;21.01176
2021-02-25 00:00:00.0;27.17918;76;1002.899;23.22162
2021-02-26 00:00:00.0;26.11041;74;1001.713;24.77562
2021-02-27 00:00:00.0;27.8375;78;1003.306;23.07594
2021-02-28 00:00:00.0;28.90416;78;1001.889;22.89336
2021-03-01 00:00:00.0;28.21528;82;999.3073;22.52286
2021-03-02 00:00:00.0;28.84654;78;1000.184;18.71526
2021-03-03 00:00:00.0;26.3375;94;1001.619;7.1832
2021-03-04 00:00:00.0;24.74266;97;1000.338;10.3638
2021-03-05 00:00:00.0;26.59722;88;1000.524;20.63466
2021-03-06 00:00:00.0;24.66181;83;1001.644;23.22798
2021-03-07 00:00:00.0;24.33055;76;1001.29;23.4
2021-03-08 00:00:00.0;25.16875;78;1003.242;22.3473
2021-03-09 00:00:00.0;26.30139;78;1003.722;22.47528
2021-03-10 00:00:00.0;26.44653;72;1000.309;22.16496
2021-03-11 00:00:00.0;26.20556;74;1000.763;21.70284
2021-03-12 00:00:00.0;25.3368;83;1003.596;11.27742
2021-03-13 00:00:00.0;27.71805;79;1003.796;16.68276
2021-03-14 00:00:00.0;28.03333;75;1004.009;20.18454
2021-03-15 00:00:00.0;27.46736;73;1000.936;16.38444
2021-03-16 00:00:00.0;24.04236;97;996.5402;2.44644
2021-03-17 00:00:00.0;22.27014;90;1003.736;13.53264
2021-03-18 00:00:00.0;20.3125;87;1007.002;15.8277
2021-03-19 00:00:00.0;21.49514;87;1002.363;16.96146
2021-03-20 00:00:00.0;21.09861;100;1002.086;0.7592999
2021-03-21 00:00:00.0;22.22847;90;1008.517;17.9124
2021-03-22 00:00:00.0;22.40625;93;1007.751;10.65888
2021-03-23 00:00:00.0;24.34792;89;1005.277;14.58162
2021-03-24 00:00:00.0;27.4507;89;1002.631;13.78938
2021-03-25 00:00:00.0;28.87847;89;998.8237;10.88208
2021-03-26 00:00:00.0;24.24583;99;1000.828;5.59932
2021-03-27 00:00:00.0;20.62569;94;1004.887;8.538781
2021-03-28 00:00:00.0;18.36056;95;1005.538;7.628399
2021-03-29 00:00:00.0;21.30486;88;1006.664;14.82102
2021-03-30 00:00:00.0;21.85556;89;1006.576;17.0601
2021-03-31 00:00:00.0;21.75555;84;1005.575;18.56538
2022-06-11 00:00:00.0;6.602777;66;1016.385;10.78494
2022-06-12 00:00:00.0;10.8257;60;1013.815;10.57296
2022-06-13 00:00:00.0;11.87431;65;1010.458;10.88784
2022-06-14 00:00:00.0;13.01736;76;1004.3;10.64556
2022-06-15 00:00:00.0;14.60903;75;1004.167;9.459478
2022-06-16 00:00:00.0;16.76389;85;1000.811;5.08866
2022-06-17 00:00:00.0;13.58819;74;1005.512;9.636779
2022-06-18 00:00:00.0;8.872917;69;1010.443;10.3158
2022-06-19 00:00:00.0;9.866669;68;1007.579;10.51032
2022-06-20 00:00:00.0;10.80625;77;1004.008;9.809221
2022-06-21 00:00:00.0;12.34027;81;1002.434;7.533721
2022-06-22 00:00:00.0;9.80625;94;1005.755;1.71486
2022-06-23 00:00:00.0;8.870141;99;1008.36;2.47656
2022-06-24 00:00:00.0;10.39236;100;1011.359;1.41402
2022-06-25 00:00:00.0;12.32639;88;1017.276;5.85708
2022-06-26 00:00:00.0;11.95139;86;1010.369;1.8999
2022-06-27 00:00:00.0;13.24167;98;1005.717;1.76166
2022-06-28 00:00:00.0;12.67014;93;1008.739;6.060599
2022-06-29 00:00:00.0;10.625;85;1006.325;10.1595
2022-06-30 00:00:00.0;10.65555;92;1006.674;9.45396
2022-07-01 00:00:00.0;15.72222;86;996.3609;8.604241
2022-07-02 00:00:00.0;16.77708;71;1004.205;9.275461
2022-07-03 00:00:00.0;13.73681;73;1006.847;6.4209
2022-07-04 00:00:00.0;16.88264;88;1003.702;5.717761
2022-07-05 00:00:00.0;14.92708;96;1004.847;5.95596
2022-07-06 00:00:00.0;15.2375;99;998.0193;2.4573
2022-07-07 00:00:00.0;15.52361;67;1006.553;10.16958
2022-07-08 00:00:00.0;14.08472;70;1005.395;7.828141
2022-07-09 00:00:00.0;21.24167;72;996.5461;9.456061
2022-07-10 00:00:00.0;24.17084;71;992.3646;9.106321
2022-07-11 00:00:00.0;14.48958;94;999.3571;2.5164
2022-07-12 00:00:00.0;8.995139;87;1010.358;10.93992
2022-07-13 00:00:00.0;10.93472;83;1004.284;10.62414
2022-07-14 00:00:00.0;15.95486;91;995.5521;8.949721
2022-07-15 00:00:00.0;15.36597;96;996.381;1.27866
2022-07-16 00:00:00.0;10.21319;97;1004.27;2.53338
2022-07-17 00:00:00.0;8.178472;87;1011.359;11.361
2022-07-18 00:00:00.0;10.54445;87;1012.064;9.063539
2022-07-19 00:00:00.0;14.3;83;1012.043;11.37684
2022-07-20 00:00:00.0;15.15763;92;1002.578;8.275621
2022-07-21 00:00:00.0;19.70347;95;1000.281;9.083282
2022-07-22 00:00:00.0;18.28819;100;1001.231;2.02836
2022-07-23 00:00:00.0;19.65833;92;999.8163;8.518439
2022-07-24 00:00:00.0;21.84444;87;1000.802;10.19658
2022-07-25 00:00:00.0;22.54097;88;1001.984;8.838599
2022-07-26 00:00:00.0;24.06597;77;1002.703;10.29528
2022-07-27 00:00:00.0;23.73888;76;1001.412;7.733041
2022-07-28 00:00:00.0;14.59514;86;1006.183;6.170701
2022-07-29 00:00:00.0;11.15139;73;1009.902;12.39696
2022-07-30 00:00:00.0;12.37153;77;1006.337;12.66654
2022-07-31 00:00:00.0;13.72847;80;1005.986;12.46914
2022-08-01 00:00:00.0;14.56319;80;1004.959;12.33096
2022-08-02 00:00:00.0;16.46389;90;1001.654;8.242802
2022-08-03 00:00:00.0;16.46944;100;999.7551;0.9130201
2022-08-04 00:00:00.0;13.34791;97;1004.326;6.214681
2022-08-05 00:00:00.0;10.57431;86;1008.86;13.1859
2022-08-06 00:00:00.0;9.828473;95;1006.529;6.0273
2022-08-07 00:00:00.0;10.5632;95;1007.625;12.03912
2022-08-08 00:00:00.0;12.46667;96;1012.168;8.16276
2022-08-09 00:00:00.0;12.07222;98;1018.113;5.456221
2022-08-10 00:00:00.0;10.38959;86;1015.117;12.34182
2022-08-11 00:00:00.0;12.05347;87;1009.877;12.52452
2022-08-12 00:00:00.0;15.50139;86;1004.537;11.27652
2022-08-13 00:00:00.0;17.58333;83;1004.698;13.99224
2022-08-14 00:00:00.0;19.5507;84;996.1833;13.21818
2022-08-15 00:00:00.0;18.6625;76;995.6378;13.05462
2022-08-16 00:00:00.0;12.5375;69;999.0696;14.73576
2022-08-17 00:00:00.0;13.81389;77;998.0897;9.222781
2022-08-18 00:00:00.0;9.202084;61;1015.535;14.93748
2022-08-19 00:00:00.0;7.755556;59;1020.773;15.49674
2022-08-20 00:00:00.0;10.2507;64;1016.82;15.44112
2022-08-21 00:00:00.0;11.12639;72;1015.749;16.0491
2022-08-22 00:00:00.0;11.93334;81;1011.293;12.91236
2022-08-23 00:00:00.0;15.74167;89;1007.005;10.22052
2022-08-24 00:00:00.0;19.80833;86;1004.702;13.7844
2022-08-25 00:00:00.0;23.65524;79;1002.46;11.6586
2022-08-26 00:00:00.0;23.57917;84;1000.358;10.14114
2022-08-27 00:00:00.0;22.89236;65;1002.349;12.65766
